"","Param","starting_value","Lower","MLE","Upper","final_gradient"
"1","log_VarM",0,-Inf,0.404700791328403,Inf,3.21974655940015e-08
"2","x0_p",0,-Inf,3.42301846716143,Inf,-2.19936346222972e-08
"3","x0_p",0,-Inf,3.24908225470725,Inf,1.56973599299561e-08
"4","x0_p",0,-Inf,-0.619125437761736,Inf,-1.12232626389398e-08
"5","x0_p",0,-Inf,2.93218396074116,Inf,2.71646947126529e-09
"6","x0_p",0,-Inf,1.07471033863987,Inf,5.29353631807551e-09
"7","x0_p",0,-Inf,4.30405588726604,Inf,-1.23905883321348e-08
"8","Lp",2.13485805183719,-Inf,0.38488671021488,Inf,-6.03703044953806e-08
"9","Lp",-0.759260044033395,-Inf,-0.306814819338114,Inf,4.43012629300624e-08
"10","Lp",0.250707297390843,-Inf,-1.21851995392522,Inf,-3.06588533569365e-08
"11","Lp",1.45913784288201,-Inf,0.656694875898309,Inf,1.03309855656755e-08
"12","Lp",1.04131207879225,-Inf,-0.753222506109345,Inf,1.48176002416999e-08
"13","Lp",1.63078809771719,-Inf,-0.155169747251251,Inf,-3.2756457089973e-08
"14","Lp",0.0475193754188093,-Inf,0.460655445577198,Inf,2.84304584641949e-07
"15","Lp",-0.547744222615458,-Inf,1.3344369703976,Inf,-1.62198788116228e-07
"16","Lp",-0.672239868264885,-Inf,-0.498130944661382,Inf,5.74687842749574e-08
"17","Lp",-0.31426525791531,-Inf,1.78712435511683,Inf,8.35471228120456e-08
"18","Lp",0.185838559408541,-Inf,-0.0783418084439561,Inf,-1.98510391745486e-07
"19","Lp",1.04822798245268,-Inf,0.81271075837756,Inf,4.47849659720548e-09
"20","Lp",-0.0860856242429755,-Inf,0.31551163254455,Inf,-1.29875988079749e-09
"21","Lp",-1.2803353620847,-Inf,-0.959241714949268,Inf,-8.73951361198074e-09
"22","Lp",2.15703022724297,-Inf,-1.07584695604046,Inf,6.54021803925569e-09
"23","Lp",0.122517047628651,-Inf,-0.111353251085488,Inf,-3.72233356526439e-08
"24","Lp",1.31456903049791,-Inf,1.54185582204347,Inf,3.64928454647993e-08
"25","Lp",1.24347441759387,-Inf,0.603224121010182,Inf,-4.90701849414126e-08
"26","Lp",0.403456771119313,-Inf,-3.63638477764497e-09,Inf,1.13438314739814e-06
"27","Lp",3.00246171669679,-Inf,-6.72032857074046e-09,Inf,-3.32826508773089e-06
"28","Lp",0.966775909137616,-Inf,-1.23837199228256e-12,Inf,-7.53151290082463e-10
